ZCTA20,ZCTA_AREA20,TOT_POP_2020,COUNT_NTM_STOPS,STOPS_PER_CAPITA,STOPS_PER_SQMILE
02191,1.793259144,8296,44,5.303761005,24.53633118
02199,0.057267059,1435,5,3.484320641,87.31022644
02203,0.009651395,24,1,41.66666794,103.6119614
02205, , ,1, , 
02210,0.92272085,4538,27,5.949757576,29.26128769
02215,0.884298682,26243,59,2.248218536,66.71953583
02301,12.44682121,63920,7,0.10951189,0.562392592
02302,8.881640434,31820,5,0.157133877,0.562959075
02322,4.291458607,4513,6,1.329492569,1.398126006
02324,26.983181,27441,0,0,0
02325, , ,2, , 
02330,37.30595398,11745,1,0.085142613,0.026805373
02332,23.70108414,15912,6,0.377073914,0.253152967
02333,17.19347572,14509,0,0,0
02338,15.97395039,7830,4,0.510855675,0.250407696
02339,15.5375309,14526,0,0,0
02341,14.90525055,10874,3,0.27588743,0.201271355
02343,7.01046896,11051,53,4.795946121,7.560122013
02346,69.04269409,25139,13,0.517124772,0.1882893
02347,29.59698105,11531,3,0.260168254,0.101361692
02350, , ,0, , 
02351,9.963900566,16557,2,0.120794833,0.200724602
02356,13.60690498,12474,0,0,0
02357,0.388231128,1050,0,0,0
02359,21.78838921,18455,6,0.325115144,0.275376022
02360,96.38320923,60797,32,0.526341736,0.332008034
02364,18.64414978,13746,10,0.727484345,0.536361277
02366,0.044773951,194,0,0,0
02367,14.68087292,2979,0,0,0
02368,9.323354721,34214,117,3.4196527,12.54913139
02370,10.02879334,18010,0,0,0
02375,13.78159809,11336,2,0.176429078,0.145121053
02379,15.32322598,7254,0,0,0
02382,6.936041832,15139,2,0.132109121,0.288348883
02420,7.037624836,14726,41,2.784191132,5.825829029
02421,9.569743156,18578,64,3.444934845,6.687744618
02445,2.611115932,20520,52,2.534113169,19.91485596
02446,1.284278154,29711,23,0.774124086,17.90889359
02451,5.320045471,17470,69,3.949627876,12.9698143
02452,3.813303709,15636,22,1.407009482,5.769275665
02453,3.591936111,29289,105,3.58496356,29.23214531
02457,0.202512518,1812,0,0,0
02458,1.965608597,12050,61,5.062240601,31.03364563
02459,5.033626556,18631,73,3.918200731,14.5024662
02460,1.347880363,9885,32,3.237228155,23.74098015
02461,1.535160303,6923,22,3.177813053,14.33075142
02462,0.698407471,1222,2,1.636661172,2.863657713
02464,0.550568163,3706,23,6.206151962,41.77502823
02465,2.151109457,11967,47,3.927467108,21.84918976
02466,1.587349415,9292,31,3.336203098,19.52941132
02467,4.905631542,22982,36,1.566443324,7.338504791
02468,1.536018968,5522,0,0,0
02472,4.030200005,35951,93,2.586854219,23.07577705
02474,3.058467388,27853,77,2.764513731,25.17600822
02476,2.084413052,17526,81,4.621705055,38.85985947
02478,4.645388126,26123,71,2.717911482,15.2839756
02481,6.089624405,16121,10,0.620308936,1.642137408
02482,3.720998049,10814,5,0.462363601,1.343725562
02492,9.505484581,20679,15,0.725373566,1.578036308
02493,16.82015801,12103,12,0.991489708,0.713429689
02494,2.800426722,10498,26,2.476662159,9.284298897
02532,13.78708744,13443,25,1.859703898,1.813290834
02534,2.7391994,1082,1,0.924214423,0.365070164
02535,24.3660202,2005,0,0,0
02536,27.36408997,19629,9,0.458505273,0.328898192
02537,13.72125053,6824,3,0.439624846,0.218638957
02538,6.264110565,4129,5,1.210946918,0.798197925
02539,26.81318855,4358,0,0,0
02540,11.00479412,8241,13,1.577478409,1.181303382
02542,28.54504395,948,0,0,0
02543,11.32263088,680,2,2.941176415,0.176637396
02553,0.197753027,96,1,10.41666698,5.056812763
02554,39.98701096,11023,194,17.5995636,4.851575375
02556,3.946893454,2554,3,1.174628019,0.760091484
02557,3.240065813,4701,0,0,0
02558,1.116744518,1632,4,2.450980425,3.5818398
02559,5.332082272,3228,2,0.61957866,0.375087977
02561,0.829073668,257,1,3.891050577,1.206165433
02562,3.376249075,2814,2,0.710732043,0.592373371
02563,13.21553326,9728,10,1.027960539,0.756685317
02564,6.06888628,189,29,153.4391479,4.77847147
02568,12.84866238,4132,0,0,0
02571,18.70173454,10858,18,1.657763839,0.962477565
02575,22.74841499,2197,0,0,0
02576,9.404367447,4171,5,1.198753238,0.531667888
02584,0.136330739,0,0, ,0
02601,8.76858902,14939,38,2.543677568,4.333650589
02630,4.879566669,1892,2,1.057082415,0.409872472
02631,22.19501495,9565,8,0.836382628,0.360441297
02632,7.460691929,11105,5,0.450247645,0.670179129
02633,8.633201599,4040,2,0.495049506,0.231663764
02635,5.488407612,2826,0,0,0
02637,0.772095025,184,0,0,0
02638,5.63644743,3028,0,0,0
02639,2.796635151,3147,1,0.317762941,0.357572556
02641,1.658424258,202,0,0,0
02642,13.96772862,4873,6,1.231274366,0.429561615
02643,2.185439348,0,0, ,0
02644,3.374119282,3744,0,0,0
02645,16.92569923,9730,3,0.308324754,0.177245259
02646,2.903584003,1715,3,1.749271154,1.033205867
02647,0.431406617,121,0,0,0
02648,9.983429909,6833,2,0.292697191,0.200331956
02649,23.39883232,14204,5,0.352013528,0.21368587
02650,1.364074945,865,1,1.156069398,0.733097553
02652,8.401278496,710,10,14.08450699,1.190294981
02653,12.05200386,5865,6,1.023017883,0.497842521
02655,6.471051216,3100,1,0.322580636,0.1545344
02657,9.670397758,2972,17,5.720053673,1.7579422
02659,1.982100606,992,1,1.008064508,0.504515231
02660,8.373366356,6336,2,0.315656573,0.238852561
02663,2.856391191,106,2,18.86792374,0.700184226
