Park,Location,Zip Code,Park_Class
MINUTEMAN,5940 S CENTRAL AVE,60638,COMMUNITY PARK
MOCCASIN RANCH,6446 S KIMBARK AVE,60637,MINI-PARK
ROBICHAUX (JOSEPH),9247 S EGGLESTON AVE,60620,LINEAR PARK
ASPEN,4237 S WABASH AVE,60653,MINI-PARK
BIRCH,427 E 45TH ST,60653,MINI-PARK
POPLAR,4046 S PRAIRIE AVE,60653,MINI-PARK
HARSH (VIVIAN G.),4464 S OAKENWALD AVE,60653,MINI-PARK
HOLLY,4052 S ELLIS AVE,60653,MINI-PARK
PARK NO. 326,6430 S KENWOOD AVE,60637,UNIMPROVED PARK
BEEHIVE,6156 S DORCHESTER AVE,60637,MINI-PARK
PRAIRIE WOLF,6310 S DREXEL AVE,60637,MINI-PARK
JEFFERSON (NANCY),3111 W FULTON BLVD,60612,NEIGHBORHOOD PARK
THROOP (AMOS GAGER),1811 S THROOP ST,60608,NEIGHBORHOOD PARK
FLYING SQUIRREL,6600 S WOODLAWN AVE,60637,MINI-PARK
BARBERRY,2827 W ARTHINGTON ST,60612,UNIMPROVED PARK
MAGNOLIA,3228 W FLOURNOY ST,60624,MINI-PARK
"KING (MARTIN LUTHER, JR.)",1219 W 76TH ST,60620,COMMUNITY PARK
EDGEBROOK,6525 N HIAWATHA AVE,60646,COMMUNITY PARK
HUCKLEBERRY,6200 S KIMBARK AVE,60637,MINI-PARK
PENDLETON (HADIYA),4347 S CALUMET AVE,60653,MINI-PARK
BOSWELL (ARNITA YOUNG),6646 S UNIVERSITY AVE,60637,MINI-PARK
ASTER,4639 N KENMORE AVE,60640,MINI-PARK
DOGWOOD,2734 W POLK ST,60612,MINI-PARK
GINKGO,3432 W 15TH ST,60623,MINI-PARK
GOOSEBERRY,4648 N MALDEN ST,60640,MINI-PARK
HONEYSUCKLE,4637 S CHAMPLAIN AVE,60653,MINI-PARK
REYES (GUADALUPE),827 W 19TH ST,60608,MINI-PARK
HORNBEAM,1422 S HAMLIN AVE,60623,MINI-PARK
RAILROAD JUNCTION,7334 S MARYLAND AVE,60619,MINI-PARK
LIN (MARGARET HIE DING),1735 S STATE ST,60616,MINI-PARK
VIOLET,4120 W TAYLOR ST,60624,NEIGHBORHOOD PARK
BROOKS (GWENDOLYN),4542 S GREENWOOD AVE,60653,NEIGHBORHOOD PARK
BURNSIDE (AMBROSE),9400 S GREENWOOD AVE,60619,COMMUNITY PARK
GILL (JOSEPH),825 W SHERIDAN RD,60613,COMMUNITY PARK
BAULER (MATHIAS),517 W WISCONSIN ST,60614,NEIGHBORHOOD PARK
DEJULIO (ANTHONY),6056 N LANDERS AVE,60646,NEIGHBORHOOD PARK
WHITE (EDWARD),1120 W 122ND ST,60643,NEIGHBORHOOD PARK
DOUGHERTY (DANIEL),9336 S KINGSTON AVE,60647,NEIGHBORHOOD PARK
STARS & STRIPES,7000 W 51ST PL,60638,NEIGHBORHOOD PARK
VALLEY FORGE,7001 W 59TH ST,60638,COMMUNITY PARK
KUJAWA (CHESTER FRANK),4330 S KEDVALE AVE,60632,MINI-PARK
BLACKWELDER (GERTRUDE),1800 W 115TH ST,60643,COMMUNITY PARK
PRIVET,1844 N SHEFFIELD AVE,60614,MINI-PARK
PARK NO. 382,8116 S HALSTED ST,60620,UNIMPROVED PARK
GOLDBERG (LOUIS),7053 N GLENWOOD AVE,60626,MINI-PARK
BUTTERCUP,4913 N SHERIDAN RD,60640,NEIGHBORHOOD PARK
JACKSON (MAHALIA),8385 S BIRKHOFF AVE,60620,COMMUNITY PARK
HOARD (EDISON),7221 S DOBSON AVE,60619,NEIGHBORHOOD PARK
WASHINGTON (DINAH),8215 S EUCLID AVE,60617,MINI-PARK
SNOWBERRY,1855 W HURON ST,60622,MINI-PARK
D'ELIA (AILEEN),6340 N LAKEWOOD AVE,60660,MINI-PARK
EDMONDS (MOLLY),711 W 60TH PL,60621,MINI-PARK
JUNIPER,3656 N GREENVIEW AVE,60613,MINI-PARK
WALSH (JOHN),1722 N ASHLAND AVE,60614,NEIGHBORHOOD PARK
MALUS,5426 S SHIELDS AVE,60609,NEIGHBORHOOD PARK
LELAND GIANTS,7526 S LOWE AVE,60621,NEIGHBORHOOD PARK
SNAPPING TURTLE,534 N ALBANY AVE,60612,MINI-PARK
THE GROVE,8421 S MORGAN ST,60620,MINI-PARK
SHEIL (BERNARD) COMM. CTR.,3505 N SOUTHPORT AVE,60657,COMMUNITY PARK
PARK NO. 399,1420 N ARTESIAN AVE,60622,MINI-PARK
CLAREMONT,2342 W FLOURNOY ST,60612,NEIGHBORHOOD PARK
VOGLE (HENRY JR.),2100 W LAWRENCE AVE,60625,MINI-PARK
PACKINGTOWN,4856 S LAFLIN ST,60609,MINI-PARK
DEBOW (RUSSELL),1126 E 80TH ST,60619,NEIGHBORHOOD PARK
ORR (REZIN),744 N PULASKI RD,60624,COMMUNITY PARK
CURIE (MARIE),4959 S ARCHER AVE,60632,COMMUNITY PARK
CHURCHILL FIELD,1825 N DAMEN AVE,60614,NEIGHBORHOOD PARK
PARK NO. 414,4302 W DIVISION ST,60651,UNIMPROVED PARK
JUNCTION GROVE,345 W 64TH ST,60621,MINI-PARK
COTTONWOOD,5058 W WEST END AVE,60644,MINI-PARK
HAZELNUT,5949 W HURON ST,60644,MINI-PARK
PARK NO. 419,8001 S WABASH AVE,60619,UNIMPROVED PARK
COCHRAN (JOHN),5554 N MAGNOLIA AVE,60640,MINI-PARK
PARK NO. 421,5300 S HALSTED ST,60609,UNIMPROVED PARK
PARK NO. 422,3200 W CONGRESS PKWY,60624,NEIGHBORHOOD PARK
OZ,2021 N BURLING ST,60614,COMMUNITY PARK
SPIKINGS FARM,4706 N PULASKI RD,60630,MINI-PARK
NOETHLING (GRACE),2645 N SHEFFIELD AVE,60614,MINI-PARK
BRIGHTON,3501 S RICHMOND ST,60632,NEIGHBORHOOD PARK
ASHMORE,4807 W GUNNISON ST,60630,MINI-PARK
WARREN (LAURENCE),6621 N WESTERN AVE,60645,CITYWIDE PARK
SOUTH SHORE CULTL. CTR.,7059 S SOUTH SHORE DR,60649,CITYWIDE PARK
SWEET CLOVER,650 N LEAMINGTON AVE,60644,MINI-PARK
FLOWER (LUCY),2554 W MOFFAT ST,60647,MINI-PARK
PARK NO. 432,3349 W RICE ST,60651,UNIMPROVED PARK
NEIGHBORS' GARDEN,2533 N SACRAMENTO AVE,60647,PASSIVE PARK
ESSEX,7687 S SOUTH CHICAGO AVE,60619,MINI-PARK
BROMANN (CHARLES),5400 N BROADWAY,60640,MINI-PARK
PERIWINKLE,100 W 66TH ST,60621,NEIGHBORHOOD PARK
PARK NO. 437,5653 S LOOMIS ST,60636,UNIMPROVED PARK
LUNA,5558 S GREEN ST,60621,MINI-PARK
DREXEL (FRANCIS),6931 S DAMEN AVE,60636,MINI-PARK
ASHE (ARTHUR) BEACH,2701 E 74TH ST,60649,NEIGHBORHOOD PARK
MCINERNEY (THOMAS),4446-58 S. EMERALD AVE,60609,NEIGHBORHOOD PARK
LAMB (HAROLD),1400 W 109TH ST,60643,NEIGHBORHOOD PARK
MARTIN (JOHNNY),922 W FLETCHER ST,60657,MINI-PARK
METCALFE (RALPH),4196 S STATE ST,60609,COMMUNITY PARK
WIEBOLDT (WILLIAM),1747 W NELSON ST,60657,MINI-PARK
LAZARUS (EMMA),1257 W COLUMBIA AVE,60626,MINI-PARK
SUN YAT-SEN,300 W 24TH PL,60616,MINI-PARK
PETERSON (PEHR SAMUEL),5801 N PULASKI RD,60646,REGIONAL PARK
MIAMI,2754 S TRUMBULL AVE,60623,MINI-PARK
SENIOR CITIZENS MEML.,2238 N OAKLEY AVE,60647,PASSIVE PARK
CLARK (RICHARD),3400 N ROCKWELL AVE,60618,COMMUNITY PARK
RIDGE PARK WETLANDS,9516 S WOOD ST,60643,NATURE PRESERVE PARK
BROADWAY ARMORY,5917 N BROADWAY,60660,COMMUNITY PARK
QUINN (MARY),6239 N MCCLELLAN AVE,60646,PASSIVE PARK
DEARBORN (HENRY),865 S PARK TER,60605,PASSIVE PARK
ROOSEVELT (THEODORE),62 W ROOSEVELT RD,60605,NEIGHBORHOOD PARK
PARK NO. 468,4556 W 56TH ST,60629,UNIMPROVED PARK
GRANDPARENTS',5445 N CHESTER ST,60656,NEIGHBORHOOD PARK
PARK NO. 474,3231 W DOUGLAS BLVD,60616,PASSIVE PARK
RIVER ESPLANADE,401 E RIVER DR,60611,LINEAR PARK
OGDEN (WILLIAM) PLAZA,429 N COLUMBUS DR,60611,PASSIVE PARK
DUSABLE (JEAN BAPTISTE POINTE),401 N LAKE SHORE DR,60611,UNIMPROVED PARK
JONES (MARY RICHARDSON),1240 S PLYMOUTH CT,60616,NEIGHBORHOOD PARK
COTTON TAIL,44 W 15TH ST,60616,NEIGHBORHOOD PARK
TOM (PING) MEML.,300 W 18TH ST,60616,REGIONAL PARK
NASH (DON) COMM. CTR.,1833 E 71ST ST,60649,COMMUNITY PARK
"MADIGAN (MICHAEL J., SR.)",4701 W MARQUETTE RD,60638,COMMUNITY PARK
PARSONS (LUCY),4701 W BELMONT AVE,60641,MINI-PARK
KENNICOTT (JONATHAN),4434 S LAKE PARK AVE,60653,COMMUNITY PARK
WINNEMAC,5001 N LEAVITT ST,60625,NEIGHBORHOOD PARK
BRONCHO BILLY,4437 N MAGNOLIA AVE,60640,MINI-PARK
CHALLENGER,1100 W IRVING PARK RD,60613,LINEAR PARK
ARMSTRONG (LILLIAN HARDIN),4433 S ST LAWRENCE,60653,COMMUNITY PARK
KELLY (JOHN),3800 N SEMINARY AVE,60613,LINEAR PARK
