School Name,address,Zip Code
EARLE,2040 W 62ND St,60636
EBERHART,3400 W 65TH Pl,60629
EBINGER,7350 W PRATT Ave,60631
EDGEBROOK,6525 N HIAWATHA Ave,60646
EDISON,4929 N SAWYER Ave,60625
EDISON PARK,6220 N OLCOTT Ave,60631
EDWARDS,4815 S KARLOV Ave,60632
ELLINGTON,243 N PARKSIDE Ave,60644
ENGLEWOOD STEM HS,6835 S NORMAL,60621
EPIC HS,8255 S HOUSTON Ave,60617
ERICSON,3600 W 5TH Ave,60624
ERIE,1405 N WASHTENAW Ave,60622
ESMOND,1865 W MONTVALE Ave,60643
EVERETT,3419 S BELL Ave,60608
EVERGREEN,3537 S PAULINA St,60609
EVERS,9811 S LOWE Ave,60628
EXCEL ENGLEWOOD HS,7141 S MORGAN,60621
EXCEL SOUTH SHORE HS,7530 S SOUTH SHORE Dr,60649
EXCEL SOUTHWEST HS,7050 S WASHTENAW Ave,60629
FAIRFIELD,6201 S FAIRFIELD Ave,60629
FALCONER,3020 N LAMON Ave,60641
FARADAY,3250 W MONROE St,60624
FARMER,4214 S ST LAWRENCE Ave,60653
FARNSWORTH,5414 N LINDER Ave,60630
FARRAGUT HS,2345 S CHRISTIANA Ave,60623
FENGER HS,11220 S WALLACE St,60628
FERNWOOD,10041 S UNION Ave,60628
FIELD,7019 N ASHLAND Ave,60626
FINKL,2332 S WESTERN Ave,60608
FISHER,1840 N CLARK,60614
FISKE,6020 S LANGLEY Ave,60637
FOREMAN HS,3235 N LECLAIRE Ave,60641
FORT DEARBORN,9025 S THROOP St,60620
FOSTER PARK,8530 S WOOD St,60620
FRANKLIN,225 W EVERGREEN Ave,60610
FRAZIER PROSPECTIVE,4027 W GRENSHAW St,60624
FULTON,5300 S HERMITAGE Ave,60609
FUNSTON,2010 N CENTRAL PARK Ave,60647
GAGE PARK HS,5630 S ROCKWELL St,60629
GALE,1631 W JONQUIL Ter,60626
GALILEO,820 S CARPENTER St,60607
GALLISTEL,10347 S EWING Ave,60617
GARVEY,10309 S MORGAN St,60643
GARVY,5225 N OAK PARK Ave,60656
GARY,3740 W 31ST St,60623
GILLESPIE,9301 S STATE St,60619
GINSBURG,1003 N LEAVITT St,60622
GLOBAL CITIZENSHIP,4942 W 44TH St,60638
GOETHE,2236 N ROCKWELL St,60647
GOODE HS,7651 S HOMAN Ave,60652
